Dataflow,GCCSTAT.PSS:DF_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataflow Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure,GCCSTAT.PSS:DSD_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Name,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Name,Track,Track Name,Indicator,Indicator Name,Citizen,Citizen Name,Sex,Sex Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BH,Kingdom of Bahrain,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,39,40,41,34,36,40,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,1398,1503,1592,1704,1820,2039,1860,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,5214,8665,9958,11435,12333,12878,19728,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,381,440,481,519,555,578,1181,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,597,633,654,659,662,642,979,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,1262,1409,1516,1620,1695,1709,2143,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A15,No. of GCC Banks in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,3,3,3,3,3,3,,
BH,Kingdom of Bahrain,T5,Economic Activities,KN_A15,No. of GCC Banks in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,2,1,1,2,2,2,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,7,7,7,7,7,7,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,2,1,2,3,3,3,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,5,4,4,6,6,6,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,1015,1089,1167,1160,1160,1160,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,1009,996,686,1502,1502,1502,,
SA,Kingdom of Saudi Arabia,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,285,364,361,87,87,87,,
